Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,OvertimeRiskFlag,ExperienceRatio
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,11,3,1,0,8,0,1,6,4,0,5,71916,1,0.14634146341463414
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,23,4,4,1,10,3,3,10,7,1,7,61560,0,0.20408163265306123
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,15,3,2,0,7,3,3,0,0,0,0,25080,1,0.0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,11,3,3,0,8,3,3,8,7,3,0,34908,1,0.24242424242424243
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,12,3,4,1,6,3,3,2,2,2,2,41616,0,0.07407407407407407
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,13,3,3,0,8,2,2,7,7,3,6,36816,0,0.21875
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,20,4,1,3,12,3,2,1,0,0,0,32040,1,0.01694915254237288
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,22,4,2,1,1,2,3,1,0,0,0,32316,0,0.03333333333333333
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,21,4,2,0,10,2,3,9,7,1,8,114312,0,0.23684210526315788
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,13,3,2,2,17,3,2,7,7,7,7,62844,0,0.19444444444444445
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,13,3,3,1,6,5,3,5,4,0,3,29112,0,0.14285714285714285
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,4193,12682,0,12,3,4,0,10,3,3,9,5,0,8,50316,1,0.3103448275862069
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,17,3,4,1,5,1,2,5,2,4,3,34932,0,0.16129032258064516
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,11,3,3,1,3,2,3,2,2,1,2,31932,0,0.058823529411764705
